mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,param_activation,param_batch_size,param_epochs,param_conv_activation,param_conv_l2_regularizer,param_dense_activation,param_dense_l2_regularizer,param_dropout_rate,param_filters,param_kernel_size,param_loss_function,param_optimizer,param_units
0.9103272216,0.913879355,0.9078756059,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9102692454,0.9191461865,0.9041803187,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.910267249,0.9112825416,0.909892433,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.910267249,0.9112825416,0.909892433,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9102611224,0.9167257446,0.9050204029,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9102280771,0.9114008891,0.910134681,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.910150949,0.9157107004,0.9057956475,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9100586482,0.9148809892,0.9084378875,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9100378223,0.9147128743,0.9072730636,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9100029639,0.9141363523,0.9067949819,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9099970065,0.9085188854,0.9117201357,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9099567856,0.9136690921,0.9072761031,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9098825836,0.9193095031,0.9037990225,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9097855072,0.9160123277,0.9049206475,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.909731451,0.9112810644,0.9088939403,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
